PostalCode,Neighbourhood,Latitude,Longitude,Distance,RestaurantType
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,Fast Food Restaurant
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,Chinese Restaurant
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,Pizza Place
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,Breakfast Spot
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,Japanese Restaurant
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,Breakfast Spot
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,Fast Food Restaurant
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,American Restaurant
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,Café
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,Indian Restaurant
M1W,L'Amoreaux West,43.799525200000005,-79.3183887,17.069617580294654,Burger Joint
M1X,Upper Rouge,43.836124700000006,-79.20563609999999,24.896615683306866,No Restaurants
M2H,Hillcrest Village,43.8037622,-79.3634517,16.735961016039603,Fast Food Restaurant
M2H,Hillcrest Village,43.8037622,-79.3634517,16.735961016039603,Mediterranean Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Ice Cream Shop
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Coffee Shop
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Frozen Yogurt Shop
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Coffee Shop
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Sushi Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Tea Room
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Coffee Shop
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Coffee Shop
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Smoothie Shop
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Bubble Tea Shop
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Bakery
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Candy Store
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Juice Bar
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Bakery
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Coffee Shop
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Burrito Place
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Mediterranean Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Wings Joint
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Burger Joint
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Asian Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Fast Food Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Chinese Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Fast Food Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Sandwich Place
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Fast Food Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Tea Room
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Food Court
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Fast Food Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Fast Food Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Caribbean Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Indian Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,American Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Juice Bar
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Coffee Shop
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Japanese Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Asian Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Greek Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Fast Food Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Pizza Place
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Taco Place
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Chinese Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Food Court
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Chinese Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Restaurant
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Sandwich Place
M2J,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,14.202887009470176,Japanese Restaurant
M2K,Bayview Village,43.7869473,-79.385975,14.761586335838578,No Restaurants
M2L,"Silver Hills, York Mills",43.7574902,-79.37471409999999,11.534898259048488,No Restaurants
M2M,"Newtonbrook, Willowdale",43.789053,-79.40849279999999,15.0913707429978,No Restaurants
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Grocery Store
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Coffee Shop
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Fast Food Restaurant
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Café
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Bubble Tea Shop
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Sushi Restaurant
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Ice Cream Shop
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Bubble Tea Shop
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Food Truck
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Café
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Coffee Shop
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Café
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Japanese Restaurant
M2N,Willowdale South,43.7701199,-79.40849279999999,13.005380400928889,Korean Restaurant
M2P,York Mills West,43.752758299999996,-79.4000493,11.01429878097126,No Restaurants
M2R,Willowdale West,43.7827364,-79.4422593,14.956968616679744,Coffee Shop
M2R,Willowdale West,43.7827364,-79.4422593,14.956968616679744,Pizza Place
M2R,Willowdale West,43.7827364,-79.4422593,14.956968616679744,Bakery
M2R,Willowdale West,43.7827364,-79.4422593,14.956968616679744,Pizza Place
M3A,Parkwoods,43.7532586,-79.3296565,11.944769368535765,Fast Food Restaurant
M3B,Don Mills North,43.745905799999996,-79.352188,10.583185841793531,No Restaurants
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Bubble Tea Shop
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Fast Food Restaurant
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Asian Restaurant
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Coffee Shop
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Dim Sum Restaurant
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Chinese Restaurant
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Asian Restaurant
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Italian Restaurant
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Restaurant
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Café
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Japanese Restaurant
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Restaurant
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Cafeteria
M3C,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923,8.801700994018585,Café
M3H,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,11.979509719954683,Fried Chicken Joint
M3H,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,11.979509719954683,Middle Eastern Restaurant
M3H,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,11.979509719954683,Deli / Bodega
M3H,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,11.979509719954683,Coffee Shop
M3H,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,11.979509719954683,Sushi Restaurant
M3H,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,11.979509719954683,Coffee Shop
M3H,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,11.979509719954683,Korean Restaurant
M3H,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593,11.979509719954683,Ice Cream Shop
